"b""When you wear a face covering make sure you: ? fully cover your nose and mouth ? don't touch the front of it ? wash your hands before &amp; after putting it on or taking it off ? wash the face covering regularly with your normal laundry   ?? https://t.co/cuqTwL2GkC https://t.co/7awDFpiQrG""",396383,160,PHE_uk,2020-07-11 10:07:22,0,[]
"We all have times where life gets on top of us, and now, more than ever, it’s important to look after our mind and body.  For expert tips and advice on looking after your mental wellbeing, visit: https://t.co/8CeQKTpHnL https://t.co/2o2uDrIHfE",396383,16,PHE_uk,2020-07-11 09:59:08,20,[]
"b""If you're going to a pub or bar this weekend, remember to follow any new safety measures they have in place.  This video explains some of the new systems that venues may have brought in ??  Most importantly: if it looks too busy, go somewhere else or head home. https://t.co/70OFPp65cr""",396383,43,PHE_uk,2020-07-10 19:21:12,0,[]
b'Have you recovered from #COVID19?   By donating plasma you could help others still fighting the virus. https://t.co/vb1ukgyGxg',396383,26,PHE_uk,2020-07-10 15:51:52,0,['COVID19']
"In this week's Friday message, Duncan Selbie covers obesity, coronavirus outbreak control work in Bradford, smoking rates and our Psychological First Aid training.  Read it here: https://t.co/Y29rVK256i https://t.co/BhI3hgwHg7",396383,9,PHE_uk,2020-07-10 14:14:01,8,[]
b'Dining out this weekend? Remember to?  ? Keep your distance from people in other groups ? Wash your hands  ? Pay contactless if you can  Share to support! #coronavirus #EnjoySummerSafely #EatOutToHelpOut https://t.co/fVz9jMOJeo',396383,60,PHE_uk,2020-07-10 14:01:55,0,[]
"Updated guidance from PHE, @RCRadiologists, @SCoRMembers @ipemnews &amp; @BIR_news on how Ionising Radiation (Medical Exposure) Regulations should be implemented in clinical practice:  Radiotherapy: https://t.co/NobM2p50BS  Imaging: https://t.co/4VuyO4y7cA https://t.co/DoaGQMz5qK",396383,9,PHE_uk,2020-07-10 13:13:01,16,[]
"b'Face coverings help stop the spread of coronavirus.  Everyone who can must wear a face covering when using public transport.   Some people are exempt from this rule, including: ?? young children ?? people with breathing difficulties ?? people living with a disability https://t.co/o6s5xInczk'",396383,80,PHE_uk,2020-07-10 10:14:53,0,[]
"We've had over 50,000 sign ups to our #PsychologicalFirstAid training course!   #Frontline workers and #volunteers from across sectors can sign up to help support the mental wellbeing of others during this challenging time: https://t.co/gtse8723GA  @NHSEngland @NHS_HealthEdEng",396383,92,PHE_uk,2020-07-10 09:28:00,145,"['PsychologicalFirstAid', 'Frontline', 'volunteers']"
b'If you have coronavirus symptoms - no matter how mild - you must self-isolate and book a test now.  ??https://t.co/oIFxrX1eZn??  Help us stop the spread of infection in your community. https://t.co/XAo63Ma3VO',396383,48,PHE_uk,2020-07-09 21:12:42,0,[]
